names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU04G00789,20.991583,3.0550895,7.829462190364553e-98,1.737201070798087e-95,0.5662921348314609,0.13379893401948273,10,5511
HU02G00264,20.941938,3.1924093,2.2223266033146465e-97,4.815330339291541e-95,0.5426966292134824,0.11027384671935359,10,13052
HU10G01469,20.891562,2.7386055,6.389579686286725e-97,1.373759632551646e-94,0.5966292134831476,0.16504319058996675,10,17735
HU09G01857,20.887693,3.3104792,6.928503492507042e-97,1.4781695720360216e-94,0.5348314606741562,0.10218709795993419,10,20172
HU04G01771,20.821383,3.0478399,2.770763147836314e-96,5.821751204942436e-94,0.5516853932584266,0.12479323653740204,10,6493
HU02G00260,20.709343,2.6519074,2.8532162784256552e-95,5.818673050157026e-93,0.6000000000000016,0.16743245726888611,10,13048
HU04G00030,20.468262,3.8373067,4.131007241630784e-93,8.125779138058851e-91,0.4955056179775256,0.08105127733872441,10,4752
HU08G01660,20.448963,3.653979,6.13660143420994e-93,1.19858197730854e-90,0.4955056179775256,0.06836978496599855,10,24804
HU07G02148,20.441475,2.9341915,7.154377396146279e-93,1.387599000574245e-90,0.5516853932584266,0.12056607241316009,10,4488
HU05G01034,20.41921,2.5950067,1.128754200199821e-92,2.1740276210098637e-90,0.5932584269662935,0.19114133431354752,10,1033
HU08G02036,20.403265,2.9900699,1.564156097286133e-92,2.9918530591883373e-90,0.5404494382022463,0.1187281749678375,10,25180
HU02G02931,20.319979,2.6954222,8.561190811868954e-92,1.6263330627889414e-89,0.5752808988764051,0.16320529314464416,10,15719
HU02G00273,20.243925,2.7039924,4.018555365099353e-91,7.425682689651785e-89,0.570786516853933,0.15438338540709573,10,13061
HU06G00886,20.243767,2.6361828,4.0314821253940786e-91,7.425682689651785e-89,0.5988764044943836,0.1742326778165797,10,21322
HU02G00030,20.243628,3.2640595,4.0428270637729204e-91,7.425682689651785e-89,0.5134831460674137,0.09538687741224061,10,12818
HU01G02193,19.967966,3.503179,1.046279653264962e-88,1.8843224794353064e-86,0.4966292134831436,0.08950560558720833,10,9159
HU06G00560,19.934544,2.6384346,2.0416048466303726e-88,3.653155511051186e-86,0.5752808988764051,0.1661459290571603,10,20996
