names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,cell_type
HU06G02554,1.6564043,1.7560142,0.0976399681441616,1.0,0.12781954887218044,VAS
HU03G02945,1.6558384,1.4326034,0.09775454732704826,1.0,0.13533834586466165,VAS
HU08G00127,1.6530089,2.170167,0.09832905576683477,1.0,0.11278195488721804,VAS
HU01G01701,1.65216,1.2715175,0.09850193314853141,1.0,0.15037593984962405,VAS
HU10G00154,1.65216,1.2656386,0.09850193314853141,1.0,0.15037593984962405,VAS
HU02G01417,1.6510282,0.9943274,0.09873281377299414,1.0,0.16541353383458646,VAS
HU09G01597,1.6510282,2.71676,0.09873281377299414,1.0,0.10526315789473684,VAS
HU10G00618,1.6507453,0.643936,0.09879060138392415,1.0,0.23308270676691728,VAS
HU08G00789,1.6504623,1.0305176,0.0988484159927465,1.0,0.16541353383458646,VAS
HU08G01478,1.6501794,0.8702809,0.09890625760744345,1.0,0.18796992481203006,VAS
HU03G00737,1.6501794,0.5724989,0.09890625760744345,1.0,0.21052631578947367,VAS
HU01G01358,1.6490475,0.5890746,0.09913789428460165,1.0,0.37593984962406013,VAS
HU03G02522,1.6487646,1.4454283,0.09919587104838462,1.0,0.14285714285714285,VAS
HU05G00390,1.6487646,0.47318795,0.09919587104838462,1.0,0.40601503759398494,VAS
HU05G01465,1.6481987,2.6448956,0.09931190574519543,1.0,0.10526315789473684,VAS
HU02G02336,1.6473498,1.7327596,0.09948616083318522,1.0,0.12781954887218044,VAS
HU04G02174,1.646784,4.582187,0.09960246634674978,1.0,0.09774436090225563,VAS
HU03G01732,1.646784,0.91748995,0.09960246634674978,1.0,0.17293233082706766,VAS
HU02G02358,1.6445203,2.00341,0.10006877342238192,1.0,0.12781954887218044,VAS
HU08G00047,1.6445203,1.6478535,0.10006877342238192,1.0,0.12781954887218044,VAS
HU03G00490,1.6442374,0.8284337,0.10012718400327293,1.0,0.19548872180451127,VAS
HU05G01038,1.6439544,4.379824,0.1001856217654935,1.0,0.09774436090225563,VAS
HU09G01455,1.6436714,1.6594661,0.10024408671701177,1.0,0.13533834586466165,VAS
HU11G01466,1.6428226,4.197762,0.10041964478702203,1.0,0.09774436090225563,VAS
HU02G01014,1.6428226,2.4923098,0.10041964478702203,1.0,0.11278195488721804,VAS
HU02G00406,1.6422567,4.157911,0.10053681959290077,1.0,0.09774436090225563,VAS
HU09G01534,1.6411248,1.3901247,0.10077149611346292,1.0,0.14285714285714285,VAS
HU05G00168,1.6411248,0.52133,0.10077149611346292,1.0,0.20300751879699247,VAS
HU04G01184,1.6411248,1.0318143,0.10077149611346292,1.0,0.15789473684210525,VAS
HU02G02906,1.6399931,3.8081517,0.10100660893707535,1.0,0.09774436090225563,VAS
HU06G01813,1.6399931,1.3044267,0.10100660893707535,1.0,0.15037593984962405,VAS
HU02G01964,1.6388613,1.2404763,0.10124215857316067,1.0,0.13533834586466165,VAS
HU07G00023,1.6377294,2.4384198,0.10147814553096807,1.0,0.11278195488721804,VAS
HU11G01992,1.6371635,2.4665508,0.10159630316460969,1.0,0.11278195488721804,VAS
HU02G03406,1.6371635,1.3449501,0.10159630316460969,1.0,0.12781954887218044,VAS
HU01G01326,1.6363146,1.2053123,0.10177374498742266,1.0,0.15037593984962405,VAS
HU05G00991,1.6351829,1.4916192,0.10201071778013077,1.0,0.13533834586466165,VAS
