names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU04G01984,7.371592,1.8379009,1.6860215345921963e-13,1.3476025147525812e-11,0.42295081967213144,0.1982676356162479,1,6706
HU08G00014,7.187798,1.8178458,6.584446782495534e-13,4.9760117578341595e-11,0.4000000000000002,0.1703002275563469,1,23158
HU06G02172,6.9455643,1.6857649,3.769503627382021e-12,2.7296914648940043e-10,0.40655737704918055,0.18432063422154663,1,22608
HU07G01726,24.470875,6.716765,3.0175599434845064e-132,7.608365912049344e-129,0.9497907949790756,0.17678427934837518,10,4066
HU11G00278,23.33576,6.3286843,1.9227701311009595e-120,3.3330018491303196e-117,0.9079497907949756,0.14150047483380374,10,25766
HU11G00642,23.231613,6.061263,2.18268931682692e-119,3.3631604556774793e-116,0.9121338912133856,0.156549053984946,10,26130
HU07G01138,20.760708,5.3435125,9.810923276042375e-96,1.088423828244141e-92,0.8326359832635957,0.1263057929724562,10,3478
HU07G01366,20.15243,5.8983965,2.5622843529710966e-90,2.733267558832822e-87,0.7907949790794957,0.08780772883336893,10,3706
HU0G00116,18.825653,4.8759823,4.65429147796655e-79,3.9117204285273416e-76,0.7740585774058557,0.13412228796843786,10,27526
HU0G00041,18.596443,4.4162536,3.433456103599489e-77,2.8007913245097597e-74,0.7866108786610857,0.18080210387901996,10,27605
HU11G00321,18.505539,5.4074736,1.8630908758291372e-76,1.476366441174889e-73,0.7405857740585757,0.0877346774782663,10,25809
HU06G01551,18.146591,5.9057493,1.366222209417582e-73,1.0241127831945037e-70,0.7112970711297057,0.0609978815107027,10,21987
HU0G00040,15.243911,3.7553039,1.807216535081098e-52,1.2530787650118565e-49,0.6903765690376558,0.18620790415661476,10,27604
HU09G01096,15.187838,5.866273,4.257351939468611e-52,2.8799428302722424e-49,0.5941422594142258,0.03491854773906046,10,19411
HU11G00285,15.112486,4.0667415,1.339878969656906e-51,8.847986481770067e-49,0.6527196652719658,0.1263057929724562,10,25773
HU0G00128,12.05,4.244542,1.9395020083023962e-33,1.0344632346205185e-30,0.5020920502092059,0.07020235225363453,10,27555
HU06G01619,11.544333,3.2965665,7.885043116160264e-31,4.049845756050091e-28,0.5313807531380759,0.13923588282562213,10,22055
HU07G01140,11.135065,4.348151,8.468317409994529e-29,4.0494617821758325e-26,0.4602510460251054,0.05646869749433906,10,3480
HU05G00840,10.900313,4.959849,1.1486144749706907e-27,5.222429912018378e-25,0.4351464435146451,0.03170428811454433,10,839
HU03G02485,10.7014885,4.9827075,1.0015652264838656e-26,4.146031575601495e-24,0.426778242677825,0.03170428811454433,10,12254
HU07G01943,41.80475,4.3979754,0.0,0.0,0.831707317073182,0.19333753346983865,11,4283
HU11G01396,41.285995,4.551592,0.0,0.0,0.8073170731707419,0.18585604032131064,11,26884
HU06G00205,41.151146,4.2585707,0.0,0.0,0.82439024390245,0.18380847377539772,11,20641
HU08G01810,40.764404,4.7645555,0.0,0.0,0.7821138211382204,0.13884076232477152,11,24954
HU01G02529,40.15335,4.0639477,0.0,0.0,0.8081300813008232,0.19759017168058088,11,9495
HU08G01667,39.82761,4.463542,0.0,0.0,0.7845528455284644,0.18428098913214686,11,24811
HU03G01818,37.957603,4.110082,0.0,0.0,0.7666666666666749,0.16482910694597405,11,11587
HU11G00445,37.647617,3.9844015,3.57909121070716e-310,3.9706437891585254e-307,0.7731707317073256,0.1846747519294378,11,25933
HU11G01431,36.584248,3.8608308,5.092032601623286e-293,4.869914627793857e-290,0.7520325203252108,0.17160182705937835,11,26919
HU01G01850,35.673676,4.0103974,1.0122208895911864e-278,8.773108241503612e-276,0.718699186991876,0.1404158135139353,11,8816
HU08G00372,34.6391,3.5237653,6.51844978704309e-263,5.1654058526754314e-260,0.7463414634146415,0.19798393447787183,11,23516
HU06G00916,34.60588,3.780176,2.061006046341474e-262,1.5449189917643455e-259,0.7130081300813066,0.1592376752244426,11,21352
HU11G00570,34.40841,3.753648,1.8876395221667562e-259,1.342402106340897e-256,0.7130081300813066,0.1749094345566223,11,26058
HU04G01716,33.989582,3.707211,3.175727093731823e-253,2.2019697736163027e-250,0.7040650406504119,0.14553472987871763,11,6438
HU08G01616,33.24854,3.489699,2.1430992355061634e-242,1.3508831203809872e-239,0.7040650406504119,0.1868798235942671,11,24760
HU09G00170,32.551594,3.9800377,1.987902282536137e-232,1.173073825662548e-229,0.6577235772357756,0.120412663411556,11,18485
HU05G02196,32.12572,4.8795686,1.9287164906756163e-226,1.091692895283433e-223,0.5991869918699192,0.05465427626397868,11,2195
HU08G00014,31.427906,3.582076,8.413240265075826e-217,4.402664504752416e-214,0.6544715447154502,0.12891793983303965,11,23158
